product_category_name,product_category_name_english,industry
beleza_saude,health_beauty,Beauty
informatica_acessorios,computers_accessories,Electronics
automotivo,auto,Auto
cama_mesa_banho,bed_bath_table,Home
moveis_decoracao,furniture_decor,Home
esporte_lazer,sports_leisure,Sports
perfumaria,perfumery,Beauty
utilidades_domesticas,housewares,Home
telefonia,telephony,Electronics
relogios_presentes,watches_gifts,Fashion
alimentos_bebidas,food_drink,Food
bebes,baby,Kids & Baby
papelaria,stationery,Office & Stationery
tablets_impressao_imagem,tablets_printing_image,Electronics
brinquedos,toys,Kids & Baby
telefonia_fixa,fixed_telephony,Electronics
ferramentas_jardim,garden_tools,Home
fashion_bolsas_e_acessorios,fashion_bags_accessories,Fashion
eletroportateis,small_appliances,Home
consoles_games,consoles_games,Electronics
audio,audio,Electronics
fashion_calcados,fashion_shoes,Fashion
cool_stuff,cool_stuff,Sports
malas_acessorios,luggage_accessories,Fashion
climatizacao,air_conditioning,Electronics
construcao_ferramentas_construcao,construction_tools_construction,Home
moveis_cozinha_area_de_servico_jantar_e_jardim,kitchen_dining_laundry_garden_furniture,Home
construcao_ferramentas_jardim,costruction_tools_garden,Home
fashion_roupa_masculina,fashion_male_clothing,Fashion
pet_shop,pet_shop,Pet
moveis_escritorio,office_furniture,Home
market_place,market_place,B2B / Services
eletronicos,electronics,Electronics
eletrodomesticos,home_appliances,Home
artigos_de_festas,party_supplies,Seasonal / Event
casa_conforto,home_confort,Home
construcao_ferramentas_ferramentas,costruction_tools_tools,Home
agro_industria_e_comercio,agro_industry_and_commerce,B2B / Services
moveis_colchao_e_estofado,furniture_mattress_and_upholstery,Home
livros_tecnicos,books_technical,Books
casa_construcao,home_construction,Home
instrumentos_musicais,musical_instruments,Sports
moveis_sala,furniture_living_room,Home
construcao_ferramentas_iluminacao,construction_tools_lights,Home
industria_comercio_e_negocios,industry_commerce_and_business,B2B / Services
alimentos,food,Food
artes,art,Seasonal / Event
moveis_quarto,furniture_bedroom,Home
livros_interesse_geral,books_general_interest,Books
construcao_ferramentas_seguranca,construction_tools_safety,Home
fashion_underwear_e_moda_praia,fashion_underwear_beach,Fashion
fashion_esporte,fashion_sport,Fashion
sinalizacao_e_seguranca,signaling_and_security,Home
pcs,computers,Electronics
artigos_de_natal,christmas_supplies,Seasonal / Event
fashion_roupa_feminina,fashio_female_clothing,Fashion
eletrodomesticos_2,home_appliances_2,Home
livros_importados,books_imported,Books
bebidas,drinks,Food
cine_foto,cine_photo,Electronics
la_cuisine,la_cuisine,Food
musica,music,Media
casa_conforto_2,home_comfort_2,Home
portateis_casa_forno_e_cafe,small_appliances_home_oven_and_coffee,Home
cds_dvds_musicais,cds_dvds_musicals,Media
dvds_blu_ray,dvds_blu_ray,Media
flores,flowers,Seasonal / Event
artes_e_artesanato,arts_and_craftmanship,Seasonal / Event
fraldas_higiene,diapers_and_hygiene,Beauty
fashion_roupa_infanto_juvenil,fashion_childrens_clothes,Fashion
seguros_e_servicos,security_and_services,B2B / Services
